,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude,Rank,Crime Index,Safety Index,Normalized Happiness,Normalized Local Purchasing Power,Normalized Safety,"Equally Weighted Safety, Purchasing, and Happiness",Z-Score Happiness Score,Z-Score Safety Index,Z-Score Local Purchasing Power,"Equally Weighted Z-Score Safety, Purchasing, and Happiness","Biased Happiness, Purchasing, then Safety","Biased Happiness, Safety, then Purchasing","Biased Purchasing, Happiness, then Safety","Biased Purchasing, Safety, then Happiness","Biased Safety, Purchasing, then Happiness","Biased Safety, Happiness, then Purchasing"
0,0,0,0,0,Finland,7821.0,91.02,73.2,Helsinki,60.16666666666666,24.933333,380.3333333333333,27.76333333333333,72.23666666666666,1.0,0.7486709440879926,0.8129082013833658,2.8012754825551656,1.878166202649857,1.1177363940400695,1.6050715663675263,3.917257057927044,4.639899662355803,4.947015335728342,4.163076961736058,4.1178909883706565,4.558541617914984,4.909050532913482
1,1,1,1,1,Denmark,7636.0,99.45,84.12,Copenhagen,55.66666666666666,12.583333,411.0,24.27,75.73,0.9658482554919696,0.8259395050412466,0.8634227460053504,2.8317979730091483,1.7053239439150527,1.347331442195695,1.919170642170426,4.06349092466188,4.682841122638044,4.960777990791091,4.2904760573653,4.266536508674413,4.638889839382205,4.940087778060635
2,2,2,2,2,Iceland,7557.0,77.06,94.86,Reykjavik,64.15,-21.95,421.0,23.02,76.98,0.951264537566919,0.6207149404216316,0.8814980840141712,2.780783230131013,1.631515628022893,1.429486158854435,1.0849264776120724,3.742237694003113,4.549030076294664,4.92958514393188,3.964540420554789,3.946903576109664,4.518252850474666,4.915412168289491
3,3,3,3,3,Switzerland,7512.0,118.44,123.35,Bern,46.91666666666666,7.466667,427.8333333333333,21.156666666666663,78.84333333333333,0.942957356470371,1.0,0.9084423878726532,2.901247255387139,1.5894729164387515,1.5519514564870631,2.6267319054559617,4.485258824680752,4.815502576343708,5.000594948455453,4.615533593186399,4.6080495236744925,4.801146236929471,4.993688006005457
4,4,4,4,4,Netherlands,7415.0,87.99,75.66,Amsterdam,52.35,4.916667,385.5,27.235,72.765,0.9250507661067012,0.7208982584784601,0.8205480442484275,2.745889643190718,1.4988475159129353,1.1524604542811638,1.4921747455273382,3.619932373155346,4.56061354361896,4.886840399021203,4.067869941064201,4.042098516080122,4.5145525810214675,4.865408887420374
5,5,5,5,5,Sweden,7384.0,98.14,71.74,Stockholm,59.333333333333336,18.05,220.4,44.884,55.116,0.9193280413513014,0.8139321723189734,0.5653387318342853,2.607027245126885,1.46988475904386,-0.0074984211669169,1.870360465503546,3.253250432699879,4.52342347847808,4.754427482453345,4.115231681038571,4.028294076850585,4.364103885974607,4.679380521700882
6,6,6,6,6,Norway,7365.0,83.11,100.9,Oslo,59.91666666666666,10.75,361.4,29.610000000000003,70.39,0.9158205648883144,0.6761686526122823,0.786204902031668,2.7051987793259205,1.452133391930556,0.996366492629558,1.310347522523999,3.4227836587344638,4.511429356151577,4.853224958652035,3.9758488325950165,3.9431133148736497,4.453597667517762,4.826443947003814
7,7,7,7,7,Israel,7364.0,75.58,88.05,Jerusalem,31.766666666666666,35.233333,364.0,29.906666666666663,70.09333333333332,0.9156359608639468,0.6071494042163152,0.7819150218109077,2.6857983316978085,1.4511991094509082,0.9768684398758828,1.0297821558815514,3.3131310253780017,4.47011719299698,4.841475659923153,3.8721864356717686,3.8374973504218026,4.409882533913465,4.813776551474139
8,8,8,8,8,New Zealand,7200.0,83.63,74.52,Wellington,-41.3,174.783333,259.0,41.27,58.73,0.885360900867639,0.6809349220898258,0.6175981490853878,2.575826443409257,1.2979767827887034,0.2300272956368317,1.329722554483371,2.926059895858142,4.423498906341153,4.734080878925466,3.8877991991965684,3.818305528596288,4.300731515367167,4.677178237425126
9,9,9,9,9,Austria,7163.0,77.25,71.04,Vienna,48.2,16.366667,387.0,27.115,72.885,0.8785305519660329,0.6224564619615032,0.8222832766972744,2.6901757233009884,1.2634083310417423,1.1603473070804031,1.092005816212612,3.3139997680870303,4.4624571450284005,4.83691370436735,3.8850640795836457,3.8705591781981066,4.437176429909002,4.825270938813608
10,10,10,10,10,Australia,7162.0,104.63,77.75,Canberra,-35.266666666666666,149.133333,212.4375,46.27375,53.72625,0.8783459479416651,0.8734188817598533,0.5452425710360783,2.5843410468639187,1.2624740485620949,-0.0988380351481039,2.112175768227249,3.223688598980841,4.525570026782952,4.720454170982333,4.187886685012631,4.107576917441098,4.375885117287005,4.649352731997578
11,11,11,11,11,Ireland,7041.0,82.27,76.05,Dublin,53.31666666666667,-6.233333,250.2,42.074,57.926,0.8560088609931696,0.6684692942254812,0.6059720916781145,2.543770124963428,1.1494258685247365,0.1771853818819305,1.2790493939742438,2.764374131666281,4.3858129787527504,4.701781159941981,3.8415613686652588,3.7759131624801947,4.270270296753573,4.648297810742687
12,12,12,12,12,Germany,7034.0,103.08,65.58,Berlin,52.516666666666666,13.4,297.0,36.858,63.142,0.8547166328225956,0.8592117323556371,0.6813968621213217,2.6467553715894843,1.1428858911672035,0.5200005835555205,2.054423269117582,3.3351186913308437,4.543007256364543,4.773570388354068,4.197702427617228,4.15620814317823,4.466053722087969,4.737123041590568
13,13,13,13,13,Canada,7025.0,87.98,70.22,Ottawa,45.41666666666666,-75.7,236.1714285714285,43.21114285714286,56.78885714285714,0.853055196603286,0.7208065994500459,0.5895286984723758,2.5455799336765024,1.1344773488503752,0.102448062498665,1.491802148758889,2.827871803017956,4.410315685592339,4.698005468504093,3.9169611719327713,3.8490949359774342,4.289146588082318,4.6415732662355484
14,14,14,14,14,United Kingdom,6943.0,88.78,69.65,London,51.5,-0.083333,211.8333333333333,46.55277777777778,53.44722222222222,0.837917666605132,0.7281393217231897,0.5412077539183316,2.506680985246577,1.0578661855192728,-0.1171767935667049,1.521609890234846,2.7073024783687,4.384709892767798,4.660207692373157,3.8988177528223944,3.821957619381652,4.247215698900704,4.5960979004673455
15,15,15,15,15,Belgium,6805.0,79.72,72.61,Brussels,50.833333333333336,4.333333,234.25,43.4025,56.5975,0.8124423112423851,0.6450962419798351,0.5867616224423396,2.493773995263803,0.9289352033279052,0.0898713490170213,1.18403721801963,2.5120817482123297,4.326329329659619,4.652117929428296,3.764702731062681,3.704271220587218,4.220711162052298,4.603350937274728
16,16,16,16,16,France,6687.0,85.41,74.13,Paris,48.86666666666667,2.333333,134.5,53.906666666666666,46.09333333333333,0.7906590363669928,0.697250229147571,0.434868532041549,2.398221293127925,0.8186898707294896,-0.6005021199719233,1.396044779267376,2.3272671586564084,4.286324201739664,4.558929543255,3.7712128685499686,3.6756585112420326,4.116966497934783,4.480207313474718
17,17,17,17,17,Bahrain,6647.0,61.41,54.77,Manama,26.23333333333333,50.566667,432.0,21.06,78.94,0.7832748753922836,0.4772685609532539,0.909840214012002,2.6561897905716685,0.781318571543586,1.5583047545753388,0.5018125349886584,3.157504535369761,4.344168452411746,4.7966784479606615,3.6666300861304304,3.7009872825715417,4.402051896264779,4.822992308761204
18,18,18,18,18,Slovenia,6630.0,59.48,53.88,Ljubljana,46.05,14.516667,430.0,21.48,78.52,0.7801366069780321,0.4595783684692942,0.9037669004410382,2.646587808383284,0.7654357693895769,1.530700769778002,0.4299013586779115,3.115449409024042,4.331121134959153,4.788789748597994,3.6406590688443057,3.674460374324956,4.387839042118784,4.814537136963766
19,19,19,19,19,Costa Rica,6582.0,39.88,47.01,San Jose,9.933333333333334,-84.083333,110.0,55.38,44.62,0.771275613808381,0.2799266727772686,0.4135637336418191,2.283405060709074,0.7205902103664926,-0.6973351460070245,-0.3003883074830409,1.772644866047378,4.066216663300394,4.486219855712488,3.2223223668568277,3.1093307440046747,3.886292633376383,4.405762684650167
20,20,20,20,20,United Arab Emirates,6576.0,92.17,58.33,Abu Dhabi,24.466666666666665,54.366667,448.5,14.825,85.175,0.7701679896621746,0.7592117323556371,1.0,2.776670157971788,0.7149845154886071,1.9680924812691332,1.647920194739215,3.803470235713879,4.529875990406262,4.877557700819107,4.106269935338762,4.161864582436898,4.630238064053555,4.924452573179624
21,21,21,21,21,Saudi Arabia,6523.0,91.85,50.41,Riyadh,24.65,46.7,379.6666666666667,28.516666666666666,71.48333333333333,0.7603839763706849,0.7562786434463794,0.8020147976767166,2.630240761193092,0.6654675440672848,1.0682244848004023,1.635997098148832,3.118945521329413,4.435715785183226,4.750129678511713,4.001823772587663,4.012213248253365,4.454446970404718,4.758885752493944
22,22,22,22,22,Singapore,6480.0,91.34,83.98,Singapore,1.2833333333333332,103.85,386.0,27.22,72.78,0.7524460033228725,0.7516040329972503,0.8207649483045334,2.636505379086956,0.6252933974424384,1.1534463108810686,1.6169946629579095,3.14540639371952,4.433471607498929,4.754205982480672,3.996914009575644,4.013970539242331,4.464184838738846,4.768554541348807
23,23,23,23,23,Romania,6477.0,48.12,35.24,Bucharest,44.43333333333333,26.1,329.625,32.99625,67.00375,0.7518921912497692,0.3554537121906508,0.7372388113657725,2.492683750295571,0.6224905500034956,0.7738093652010312,0.0066314297193185,2.4039382739133828,4.1952452930093385,4.657844852151928,3.4246219343991893,3.420340426594998,4.1882537589049,4.65469783197043
24,24,24,24,24,Spain,6476.0,70.04,53.88,Madrid,40.4,-3.683333,328.8888888888889,32.846666666666664,67.15333333333334,0.7517075872254015,0.5563703024747938,0.7394018268141616,2.5305228905788173,0.621556267523848,0.7836405462945275,0.8233635461605476,2.5473016814421072,4.282408223076434,4.678587404577722,3.658325379460023,3.6549600628705705,4.276657239881132,4.675956434939361
25,25,25,25,25,Uruguay,6474.0,30.07,52.07,Montevideo,-34.85,-56.166667,121.0,54.81,45.19,0.751338379176666,0.1900091659028414,0.4218060877738413,2.2638070043038123,0.6196877025645529,-0.659872595210639,-0.6659057373319669,1.7839577787434364,4.029700499891145,4.469204386128402,3.1490199707377347,3.0425749281323267,3.8626877887310087,4.394851904465462
26,26,26,26,26,Italy,6467.0,61.74,66.47,Rome,41.9,12.483333,203.0,47.11166666666667,52.88833333333333,0.750046151006092,0.4802933088909258,0.5331260694574987,2.375672270761864,0.6131477252070197,-0.153909080215013,0.5141082283474909,1.8927289024944336,4.163658046692521,4.550852170858354,3.4625661496355806,3.3993417270855515,4.058123704816428,4.5029340787878525
27,27,27,27,28,Lithuania,6446.0,58.74,45.65,Vilnius,54.68333333333333,25.316667,330.6666666666667,33.516666666666666,66.48333333333333,0.7461694664943695,0.4527956003666362,0.7297134456414336,2.499207927616543,0.5935277931344203,0.7396056181654428,0.4023291978126512,2.393204403651556,4.224427736223333,4.657267978409845,3.518319207255245,3.5136388548676,4.216629651174176,4.6537332305382355
28,28,28,28,29,Slovakia,6391.0,54.7,44.68,Bratislava,48.15,17.116667,370.0,29.89,70.11,0.7360162451541443,0.4157653528872594,0.7821560263176922,2.5224379743099785,0.5421422567538028,0.977963836098,0.2518001033590671,2.520703665453134,4.2220067267641825,4.676651619213579,3.4953701454697264,3.508545569914712,4.24380724414955,4.686507220715667
29,29,29,29,30,Estonia,6341.0,63.46,53.68,Tallinn,59.43333333333333,24.716667,426.5,22.145,77.85499999999999,0.7267860439357579,0.4960586617781852,0.8941508206203455,2.610684118906996,0.4954281327714233,1.486994460515552,0.578194872520799,2.95901268289418,4.296631044461662,4.7445882208782795,3.638383875292164,3.684096466890518,4.373842411309543,4.779732935956369
30,30,30,30,31,Panama,6309.0,33.09,51.43,Panama City,8.966666666666667,-79.533333,194.0,47.16,52.84,0.7208787151559904,0.2176901924839597,0.5324271563878246,2.314550833707376,0.4655310934227004,-0.1570857292591503,-0.5533815132602281,1.77890892201526,4.047570565431884,4.506164082145158,3.1903001663412676,3.130672776548323,3.9533556944800603,4.464147356178869
31,31,31,31,32,Brazil,6293.0,27.85,33.24,Brasilia,-15.783333333333331,-47.916667,57.23076923076923,67.51076923076923,32.48923076923077,0.7179250507661067,0.1696608615948671,0.2381495303192939,2.124397690508237,0.450582573748339,-1.4946150732121493,-0.7486222199277482,1.7056579674954075,3.933334485442663,4.342932743105717,3.0297184873558543,2.8669919901758045,3.681306574109964,4.231018053642186
32,32,32,32,33,Kazakhstan,6234.0,32.23,28.68,Astana,51.16666666666666,71.416667,195.5,48.650000000000006,51.35,0.7070334133284105,0.2098075160403299,0.51088135348131,2.289267291581342,0.3954599074491312,-0.2550141515163685,-0.5854248353468825,1.6867230079594393,4.0250386292529985,4.482258481232472,3.163378748941881,3.100751681377098,3.926363168071753,4.4382808578194135
33,33,33,33,34,Cyprus,6221.0,57.31,59.03,Nicosia,35.166666666666664,33.366667,359.5,30.96,69.03999999999999,0.7046335610116301,0.4396883593033914,0.7666835369821415,2.494047343271139,0.3833142352137125,0.9076393986381184,0.3490478599243777,2.382116864702294,4.197473520398321,4.644585392528448,3.489433492553821,3.5071706617867027,4.226935516225333,4.657925871074985
34,34,34,34,35,Latvia,6180.0,51.65,48.45,Riga,56.95,24.1,289.0,37.91,62.09,0.6970647960125531,0.3878093492208983,0.6661846576530982,2.409688014371744,0.3450086535481613,0.450859174015525,0.1381580889819799,1.9832116070897732,4.12868547902192,4.57462838118718,3.3769653017727372,3.3678085415679626,4.113699458060669,4.567873088128033
35,35,35,35,36,Serbia,6178.0,37.83,36.21,Belgrade,44.833333333333336,20.5,270.0,39.71,60.290000000000006,0.6966955879638176,0.2611365719523373,0.6401561709203963,2.374253670616339,0.3431400885888661,0.3325563820269397,-0.3767706450151816,1.9291676774713984,4.0777983976557115,4.550184082664264,3.252077819187441,3.2346454686664035,4.04997309913903,4.537741327141112
36,36,36,36,37,Chile,6172.0,33.27,43.9,Santiago,-33.45,-70.666667,86.0,59.8,40.2,0.6955879638176112,0.2193400549954171,0.3496493384426289,2.178229083344351,0.3375343937109805,-0.9878342241123284,-0.5466747714281378,1.4449911993430118,3.958707361497411,4.384784198986636,3.0855693712774523,2.971339949284762,3.779895431420539,4.305166108401964
37,37,37,37,39,Mexico,6128.0,38.62,35.35,Mexico City,19.433333333333334,-99.133333,169.30769230769232,52.16538461538461,47.83461538461539,0.687465386745431,0.2683776351970669,0.4600479413580419,2.2475110628430137,0.2964259646064865,-0.4860584931351014,-0.3473355003076738,1.4371840884028757,4.002155318051183,4.440862912464146,3.162664887667417,3.089921406914677,3.8868467178750197,4.389353997631629
38,38,38,38,40,Croatia,6125.0,47.55,48.94,Zagreb,45.8,16.0,394.6666666666667,26.136666666666667,73.86333333333333,0.6869115746723279,0.3502291475710357,0.8364302412455112,2.5180959369199685,0.2936231171675438,1.224647065318643,-0.014606586082301,2.573466278554686,4.178089852270672,4.66490234932235,3.4199289383471383,3.4633728180042285,4.249059834826983,4.6968448198614725
39,39,39,39,41,Poland,6123.0,59.95,38.95,Warsaw,52.25,21.0,331.57142857142856,33.39714285714286,66.60285714285715,0.6865423666235924,0.4638863428047662,0.7314417922472294,2.46120018962241,0.2917545522082486,0.7474611739297644,0.4474134067950366,2.21865480283046,4.177229639008861,4.611568000624756,3.4859884421740155,3.498844705073104,4.1986718327953,4.621294004457354
40,40,40,40,42,El Salvador,6120.0,21.17,44.37,San Salvador,13.7,-89.2,32.0,69.79,30.21,0.6859885545504892,0.1084326306141155,0.2051912370761333,2.0752833443610164,0.2889517047693059,-1.644414719648978,-0.9975168612519912,1.752628516431818,3.8840736455080114,4.296642602281049,2.961897896879364,2.7948603751510896,3.62806268052696,4.18324551237287
41,41,41,41,43,Hungary,6086.0,51.98,40.66,Budapest,47.5,19.083333,318.0,35.06,64.94,0.6797120177219863,0.3908340971585701,0.7073964283132095,2.426805784853441,0.2571861004612877,0.6381719279974517,0.1504537823408122,2.0704493467584766,4.13116064354696,4.585087484979157,3.3868600037285472,3.3950242276070113,4.144541700255437,4.591121438831142
42,42,42,42,45,Uzbekistan,6063.0,22.37,27.31,Tashkent,41.31666666666667,69.25,329.0,33.86,66.14,0.6754661251615285,0.1194317140238313,0.7247487528016775,2.407531709275996,0.2356976034293932,0.7170404559898421,-0.9528052490380554,2.3201323964854725,4.067046254317686,4.57685164031115,3.2033190062823613,3.2186671016571617,4.0912095699585125,4.587606804500487
43,43,43,43,46,Japan,6039.0,87.11,77.03,Tokyo,35.68333333333333,139.75,381.0,28.07,71.93,0.671035628576703,0.7128322639780018,0.8084737184585353,2.563409272608645,0.213274823917851,1.0975811035531258,1.4593862299037852,2.828725941544855,4.33354348344479,4.676767799465766,3.8701649898413137,3.9055157442208683,4.396515834434597,4.706063453660982
44,44,44,44,47,Honduras,6022.0,32.09,40.46,Tegucigalpa,14.1,-87.216667,4.0,80.87,19.13,0.6678973601624515,0.2085242896425298,0.044971440965946,1.979224417756168,0.197392021763842,-2.3726341281120487,-0.5906411901051747,1.9148705227483351,3.8365825775818787,4.204623837922239,2.9327432637608286,2.7120345154037966,3.496807429330187,4.053764889584857
